Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:29.362	Sad
00:00:31.823	Unknown
00:01:03.146	Sad
00:01:04.105	Unknown
00:01:18.703	Sad
00:01:19.329	Unknown
00:01:19.871	Sad
00:01:20.955	Unknown
00:01:26.211	Neutral
00:01:26.795	Unknown
00:03:01.347	Sad
00:03:02.891	Unknown
00:04:16.422	Neutral
00:04:17.298	Unknown
00:05:09.350	Neutral
00:05:10.435	Unknown
00:05:12.854	Sad
00:05:15.273	Unknown
00:05:19.235	Sad
00:05:25.116	Unknown
00:05:25.742	Sad
00:05:28.786	Angry
00:05:29.954	Unknown
00:05:32.206	Sad
00:05:33.833	Unknown
00:05:37.670	Sad
00:05:38.963	Unknown
00:06:13.831	Neutral
00:06:15.375	Unknown
00:06:26.552	Sad
00:06:28.262	Unknown
00:06:30.515	Sad
00:06:33.851	Unknown
00:06:46.114	Sad
00:06:46.781	Unknown
00:06:53.496	Neutral
00:06:56.290	Sad
00:06:58.292	Unknown
00:07:08.928	Sad
00:07:12.265	Unknown
00:07:20.022	Sad
00:07:22.150	Unknown
00:07:24.694	Sad
00:07:25.903	Unknown
00:07:32.493	Sad
00:07:34.287	Unknown
00:07:42.086	Sad
00:07:47.425	Unknown
00:08:07.069	Sad
00:08:09.697	Unknown
00:08:28.257	Sad
00:08:28.925	Unknown
00:08:41.187	Sad
00:08:45.650	Unknown
00:08:58.037	Sad
00:09:00.331	Unknown
00:09:06.504	Sad
00:09:09.257	Unknown
00:09:17.014	Sad
00:09:17.974	Unknown
00:09:27.108	Neutral
00:09:28.025	Angry
00:09:29.610	Neutral
00:09:32.613	Unknown
00:10:23.581	Neutral
00:10:24.290	Unknown
00:10:40.890	Sad
00:10:42.600	Unknown
00:10:43.851	Sad
00:10:44.518	Unknown
00:10:55.112	Sad
00:10:55.905	Unknown
00:10:56.655	Sad
00:10:58.532	Unknown
00:11:06.457	Sad
00:11:07.458	Unknown
00:11:10.961	Sad
00:11:18.969	Unknown
00:11:19.679	Sad
00:11:22.932	Unknown
00:11:25.684	Sad
00:11:26.268	Unknown
00:11:29.105	Sad
00:11:35.528	Unknown
00:11:38.447	Sad
00:11:39.073	Unknown
00:11:45.204	Sad
00:11:47.248	Unknown
00:12:04.098	Sad
00:12:05.307	Unknown
00:12:06.726	Neutral
00:12:07.268	Unknown
00:12:19.947	Neutral
00:12:20.573	Unknown
00:12:43.262	Neutral
00:12:44.138	Unknown
00:12:53.063	Neutral
00:12:53.731	Unknown
00:12:56.984	Neutral
00:13:00.696	Unknown
00:13:40.236	Neutral
00:13:41.070	Unknown
00:13:47.785	Neutral
00:13:48.702	Unknown
00:14:41.338	Neutral
00:14:42.631	Unknown
00:15:24.173	Neutral
00:15:27.134	Unknown
00:15:32.139	Happy
00:15:37.561	Neutral
00:15:38.187	Happy
00:15:39.980	Neutral
00:15:40.898	Unknown
00:15:41.523	Neutral
00:15:43.025	Unknown
00:15:44.193	Neutral
00:15:49.114	Unknown
00:15:49.657	Neutral
00:15:55.329	Unknown
00:15:56.622	Neutral
00:16:01.210	Happy
00:16:02.461	Neutral
00:16:03.921	END
