Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Neutral
00:00:03.753	Unknown
00:00:05.171	Neutral
00:00:07.173	Happy
00:00:07.841	Neutral
00:00:08.800	Happy
00:00:10.969	Neutral
00:00:14.139	Unknown
00:00:14.681	Neutral
00:00:17.934	Unknown
00:00:18.560	Neutral
00:00:21.896	Unknown
00:00:24.357	Neutral
00:00:27.694	Unknown
00:00:30.321	Sad
00:00:30.905	Neutral
00:01:05.982	Sad
00:01:09.611	Neutral
00:01:13.573	Unknown
00:01:15.742	Neutral
00:01:18.161	Unknown
00:01:20.371	Neutral
00:01:20.997	Unknown
00:01:23.041	Neutral
00:01:28.171	Unknown
00:01:30.423	Neutral
00:01:34.469	Unknown
00:01:36.012	Neutral
00:01:37.722	Unknown
00:01:46.147	Neutral
00:01:46.731	Unknown
00:01:48.108	Sad
00:01:48.691	Unknown
00:02:03.873	Neutral
00:02:07.001	Unknown
00:02:14.926	Neutral
00:02:17.303	Unknown
00:02:22.142	Sad
00:02:26.437	Neutral
00:02:41.119	Unknown
00:02:41.786	Neutral
00:02:46.291	Unknown
00:02:47.292	Neutral
00:02:49.377	Unknown
00:03:23.161	Neutral
00:03:39.552	Unknown
00:03:40.803	Neutral
00:03:41.471	Unknown
00:03:42.013	Neutral
00:03:43.389	Unknown
00:03:48.269	Neutral
00:03:58.821	Unknown
00:04:01.866	Neutral
00:04:02.450	Unknown
00:04:03.034	Neutral
00:04:16.881	Unknown
00:04:17.465	Neutral
00:04:28.059	Sad
00:04:29.602	Neutral
00:04:32.105	Sad
00:04:32.939	Neutral
00:04:35.984	Unknown
00:04:36.526	Neutral
00:04:43.157	Unknown
00:04:59.465	Neutral
00:05:03.261	Unknown
00:05:07.140	Neutral
00:05:09.434	Unknown
00:05:17.525	Sad
00:05:20.903	Unknown
00:05:21.571	Neutral
00:05:22.196	Unknown
00:05:23.489	Neutral
00:05:31.372	Unknown
00:05:32.165	Neutral
00:05:34.208	Unknown
00:05:35.084	Sad
00:05:35.835	Unknown
00:06:23.257	Neutral
00:06:25.468	Unknown
00:06:27.261	Neutral
00:06:28.554	Unknown
00:06:29.138	Neutral
00:06:30.640	Unknown
00:06:31.182	Neutral
00:06:32.392	Unknown
00:06:33.976	Neutral
00:06:34.519	Sad
00:06:37.730	Unknown
00:06:39.857	Neutral
00:06:41.484	Unknown
00:06:42.902	Neutral
00:06:45.071	Unknown
00:07:13.474	Sad
00:07:19.439	Unknown
00:07:20.523	Neutral
00:07:21.899	Unknown
00:07:22.567	Sad
00:07:24.193	Unknown
00:07:24.735	Sad
00:07:28.156	Neutral
00:07:29.907	Unknown
00:07:34.287	Sad
00:07:36.080	Unknown
00:07:36.622	Sad
00:07:43.421	Neutral
00:07:50.303	Sad
00:07:51.554	Neutral
00:07:55.933	Unknown
00:08:00.605	Sad
00:08:05.401	Neutral
00:08:10.406	Sad
00:08:12.116	Unknown
00:08:14.911	Sad
00:08:22.835	Unknown
00:08:23.419	Sad
00:08:26.297	Neutral
00:08:31.302	Sad
00:08:36.849	Unknown
00:08:38.184	Sad
00:08:46.901	Unknown
00:08:47.443	Sad
00:08:48.736	Unknown
00:08:50.363	Sad
00:08:51.155	Unknown
00:08:52.573	Sad
00:08:55.826	Neutral
00:08:58.371	Unknown
00:08:58.996	Sad
00:09:01.207	Unknown
00:09:04.835	Neutral
00:09:15.596	Sad
00:09:16.973	Unknown
00:09:18.307	Sad
00:09:21.227	Unknown
00:09:24.480	Sad
00:09:26.691	Unknown
00:09:27.233	Sad
00:09:28.943	Unknown
00:09:30.111	Sad
00:09:32.780	Unknown
00:09:34.824	Sad
00:09:35.491	Unknown
00:09:36.993	Sad
00:09:39.078	Unknown
00:09:45.251	Neutral
00:09:52.508	Unknown
00:10:11.277	Neutral
00:10:12.069	Unknown
00:10:33.841	Neutral
00:10:35.384	Unknown
00:10:38.387	Neutral
00:10:42.850	Unknown
00:10:50.149	Neutral
00:10:55.112	Unknown
00:10:57.365	Neutral
00:10:58.491	Unknown
00:11:21.639	Sad
00:11:22.181	Unknown
00:11:22.848	Sad
00:11:24.809	Neutral
00:11:29.980	Unknown
00:11:30.523	Neutral
00:11:39.990	Unknown
00:11:46.997	Sad
00:11:50.626	Unknown
00:11:51.877	Sad
00:11:53.963	Neutral
00:11:54.630	Sad
00:11:59.218	Neutral
00:12:10.855	Unknown
00:12:11.397	Neutral
00:12:40.301	Unknown
00:12:43.846	Sad
00:12:46.390	Unknown
00:12:46.932	Neutral
00:12:49.477	Sad
00:12:53.481	Unknown
00:12:54.857	Neutral
00:13:07.369	Sad
00:13:10.289	Neutral
00:13:10.873	Sad
00:13:15.127	Unknown
00:13:16.670	Sad
00:13:18.964	Neutral
00:13:22.635	Sad
00:13:29.099	Neutral
00:13:31.352	Sad
00:13:33.395	Neutral
00:13:36.857	Unknown
00:13:37.399	Sad
00:13:38.734	Neutral
00:13:45.366	Unknown
00:13:54.333	Neutral
00:14:04.969	Sad
00:14:06.554	Unknown
00:14:09.431	Neutral
00:14:14.103	Unknown
00:14:15.187	Neutral
00:14:16.105	Unknown
00:14:16.647	Neutral
00:14:22.152	Unknown
00:14:25.364	Neutral
00:14:34.498	Unknown
00:14:35.040	Neutral
00:14:39.295	Sad
00:14:39.920	Neutral
00:14:46.677	Unknown
00:14:49.597	Neutral
00:14:52.683	Unknown
00:14:54.351	Sad
00:14:55.644	Neutral
00:14:57.938	Unknown
00:14:59.273	Neutral
00:15:03.736	Unknown
00:15:05.237	Neutral
00:15:05.863	Unknown
00:15:06.530	Neutral
00:15:09.825	Unknown
00:15:11.285	Neutral
00:15:13.912	Unknown
00:15:14.496	Neutral
00:15:15.706	Unknown
00:15:16.290	Neutral
00:15:18.751	Unknown
00:15:19.376	Neutral
00:15:19.960	Unknown
00:15:29.303	Neutral
00:15:33.015	Unknown
00:16:03.170	Neutral
00:16:03.921	END
