Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Sad
00:00:07.298	Unknown
00:00:11.136	Sad
00:00:12.345	Unknown
00:00:13.263	Sad
00:00:16.266	Neutral
00:00:17.350	Sad
00:00:17.934	Unknown
00:00:22.856	Sad
00:00:23.606	Unknown
00:00:28.319	Sad
00:00:30.655	Unknown
00:00:32.031	Sad
00:00:33.199	Unknown
00:00:35.285	Sad
00:00:35.869	Unknown
00:00:37.412	Sad
00:00:41.958	Unknown
00:00:44.085	Sad
00:00:48.715	Unknown
00:00:52.635	Sad
00:01:02.312	Unknown
00:01:05.148	Sad
00:01:05.732	Unknown
00:01:06.900	Sad
00:01:07.484	Unknown
00:01:08.860	Sad
00:01:21.915	Unknown
00:01:24.834	Sad
00:01:26.753	Unknown
00:01:27.295	Sad
00:01:29.214	Unknown
00:01:32.675	Sad
00:01:39.432	Unknown
00:01:40.016	Sad
00:01:49.067	Unknown
00:01:50.568	Sad
00:02:48.751	Unknown
00:02:55.133	Sad
00:03:08.062	Unknown
00:03:14.694	Sad
00:03:22.952	Unknown
00:03:24.412	Sad
00:03:25.622	Unknown
00:03:27.040	Sad
00:03:31.085	Unknown
00:03:32.503	Sad
00:03:33.588	Unknown
00:03:35.673	Neutral
00:03:37.508	Sad
00:03:38.218	Unknown
00:03:39.135	Sad
00:03:59.572	Unknown
00:04:00.740	Sad
00:04:02.200	Unknown
00:04:04.285	Sad
00:04:04.994	Unknown
00:04:15.046	Sad
00:04:42.282	Unknown
00:04:42.824	Sad
00:04:54.085	Unknown
00:05:02.385	Sad
00:05:03.052	Unknown
00:05:06.973	Sad
00:05:18.818	Unknown
00:05:19.360	Sad
00:05:20.611	Unknown
00:05:21.529	Sad
00:05:25.616	Unknown
00:05:28.828	Sad
00:05:54.937	Unknown
00:06:02.153	Sad
00:06:02.904	Unknown
00:06:06.741	Sad
00:06:07.617	Unknown
00:06:10.661	Sad
00:06:12.830	Neutral
00:06:15.291	Sad
00:06:18.336	Unknown
00:06:29.013	Sad
00:06:45.113	Unknown
00:06:45.655	Sad
00:07:02.672	Unknown
00:07:05.800	Sad
00:07:27.905	Unknown
00:07:28.489	Sad
00:07:53.306	Unknown
00:08:00.938	Sad
00:08:04.942	Unknown
00:08:05.818	Sad
00:08:28.549	Unknown
00:08:29.091	Sad
00:08:40.019	Unknown
00:08:41.437	Sad
00:08:45.024	Unknown
00:08:45.733	Sad
00:08:46.901	Unknown
00:08:48.152	Sad
00:08:53.908	Unknown
00:08:56.244	Sad
00:09:02.208	Unknown
00:09:27.817	Sad
00:09:39.203	Unknown
00:09:40.705	Sad
00:09:41.664	Unknown
00:09:44.041	Sad
00:09:52.550	Unknown
00:10:28.502	Sad
00:10:35.092	Unknown
00:10:42.016	Neutral
00:10:42.558	Unknown
00:10:52.068	Sad
00:10:52.777	Unknown
00:10:55.780	Neutral
00:10:58.449	Sad
00:11:01.327	Unknown
00:11:10.252	Neutral
00:11:11.128	Unknown
00:11:16.175	Neutral
00:11:19.095	Unknown
00:11:26.060	Neutral
00:11:26.685	Sad
00:11:27.228	Neutral
00:11:30.439	Unknown
00:11:31.524	Neutral
00:11:32.358	Unknown
00:11:54.255	Neutral
00:11:55.172	Unknown
00:12:10.146	Neutral
00:12:14.191	Unknown
00:12:18.612	Sad
00:12:20.364	Unknown
00:12:22.074	Neutral
00:13:29.475	Sad
00:13:31.852	Neutral
00:13:52.331	Unknown
00:13:54.833	Sad
00:13:55.376	Neutral
00:13:57.378	Unknown
00:13:57.920	Neutral
00:14:03.926	Unknown
00:14:04.468	Neutral
00:14:09.223	Unknown
00:14:10.182	Neutral
00:14:10.808	Happy
00:14:13.227	Unknown
00:14:14.395	Neutral
00:14:17.314	Unknown
00:14:18.857	Neutral
00:14:19.483	Unknown
00:14:23.195	Happy
00:14:24.697	Unknown
00:14:27.366	Happy
00:14:29.410	Neutral
00:14:56.186	Sad
00:14:56.770	Neutral
00:14:59.231	END
