Video analysis detailed log

Face Model:	General
Frame rate:	23.98

Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Valence	Arousal
00:00:01.751	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED	FIND_FAILED
00:00:01.793	0.870376700	0.000158058	0.268738600	0.014560890	0.013276070	0.010771700	0.013013160	-0.268580600	0.247567000
00:00:01.835	0.857907000	0.000148604	0.292561900	0.014835810	0.013039800	0.010686110	0.012248540	-0.292413300	0.247565600
00:00:01.876	0.843523700	0.000139057	0.319159700	0.014838780	0.012800610	0.010446420	0.011628530	-0.319020700	0.247565600
00:00:01.918	0.822839800	0.000808639	0.347773800	0.014686020	0.012472270	0.010583290	0.011310210	-0.346965100	0.251602300
00:00:01.960	0.796806500	0.001649182	0.375999800	0.014410840	0.012648630	0.012054880	0.011089360	-0.374350600	0.258158200
00:00:02.001	0.764003000	0.002793990	0.396071000	0.014253550	0.014081670	0.013211580	0.010729770	-0.393277000	0.266435900
00:00:02.043	0.733499500	0.004148845	0.403693700	0.014288460	0.016138260	0.014968150	0.010270750	-0.399544900	0.275815500
00:00:02.085	0.706211200	0.006520483	0.405235700	0.014251870	0.018074940	0.016638220	0.010116840	-0.398715300	0.278050100
00:00:02.127	0.678086100	0.010233430	0.414064100	0.014204380	0.019129050	0.018974010	0.010274770	-0.403830700	0.278050100
00:00:02.168	0.653560400	0.015112480	0.419453400	0.014176950	0.019510680	0.021696040	0.010600890	-0.404340900	0.277443300
00:00:02.210	0.633304900	0.020724540	0.421540100	0.014427270	0.019281220	0.024447300	0.010829060	-0.400815500	0.276812100
00:00:02.252	0.618553900	0.026612780	0.418848800	0.015006580	0.018707980	0.026912510	0.011051440	-0.392236000	0.276194200
00:00:02.293	0.602972500	0.032321960	0.419091400	0.015699940	0.017886890	0.029089030	0.011327350	-0.386769400	0.275589300
00:00:02.335	0.586948900	0.037517310	0.421949500	0.016396700	0.016953780	0.030737600	0.011752360	-0.384432200	0.274997200
00:00:02.377	0.572646500	0.043721640	0.425252700	0.017389700	0.015990150	0.031941910	0.012204420	-0.381531000	0.274417500
00:00:02.419	0.565682600	0.049872320	0.421056500	0.019441800	0.015115540	0.033591930	0.012514130	-0.371184200	0.273850100
00:00:02.460	0.565743700	0.055534580	0.410326200	0.021272830	0.014599210	0.035362490	0.012669710	-0.354791600	0.273294600
00:00:02.502	0.571184900	0.060153920	0.395175400	0.022826640	0.014618200	0.037322610	0.012708610	-0.335021500	0.272750900
00:00:02.544	0.581227800	0.063282010	0.377161900	0.024064830	0.015234490	0.038921890	0.012727000	-0.313879800	0.272218600
00:00:02.585	0.594198100	0.065889060	0.358616800	0.025029100	0.016352090	0.040258610	0.012660980	-0.292727800	0.271697500
00:00:02.627	0.608626600	0.066696700	0.341457600	0.025964000	0.018198160	0.040916990	0.012588940	-0.274760900	0.271187400
00:00:02.669	0.622785000	0.065555250	0.326836700	0.026490440	0.020435230	0.041483580	0.012448770	-0.261281400	0.270688100
00:00:02.711	0.637226000	0.062883720	0.311784600	0.026953070	0.023259290	0.041821010	0.012179400	-0.248900900	0.270205900
00:00:02.752	0.651690600	0.059552920	0.297132700	0.027549280	0.026065880	0.041797200	0.011810160	-0.237579800	0.270144000
00:00:02.794	0.666176200	0.055906310	0.283725900	0.028093310	0.029269650	0.041387310	0.011378660	-0.227819500	0.270144000
00:00:02.836	0.679281800	0.051902260	0.271547500	0.028515410	0.032689140	0.040662140	0.010973680	-0.219645300	0.278431700
00:00:02.877	0.691256900	0.047732920	0.260402600	0.029138740	0.035826300	0.039701340	0.010589740	-0.212669700	0.288809100
00:00:02.919	0.701808200	0.043593830	0.250733700	0.029804830	0.039091930	0.038638220	0.010272100	-0.207139900	0.303217900
00:00:02.961	0.711544700	0.039644230	0.242006700	0.030638730	0.042225170	0.037484370	0.009952032	-0.202362500	0.318047000
00:00:03.002	0.720040700	0.035943460	0.234879400	0.031620240	0.045556530	0.036203980	0.009576219	-0.198935900	0.332987000
00:00:03.044	0.727331500	0.032458650	0.229717900	0.032942650	0.049042110	0.034922880	0.009123201	-0.197259300	0.352973100
00:00:03.086	0.733549500	0.029222740	0.225775100	0.034998360	0.051801760	0.033629420	0.008599533	-0.196552400	0.376289000
00:00:03.128	0.739046200	0.026248060	0.222351300	0.037406650	0.053668460	0.032379860	0.008046625	-0.196103300	0.399851300
00:00:03.169	0.743745300	0.023531400	0.219637200	0.040287480	0.055360870	0.031189140	0.007498753	-0.196105800	0.425108800
00:00:03.211	0.747873400	0.021068610	0.217292400	0.043583120	0.057173370	0.030067390	0.006961711	-0.196223800	0.451246300
00:00:03.253	0.751302200	0.018846130	0.215365200	0.046908980	0.058912610	0.029179470	0.006450724	-0.196519000	0.477671200
00:00:03.294	0.754289300	0.016850450	0.213782400	0.050497640	0.060412340	0.028056090	0.005971996	-0.196931900	0.503959500
00:00:03.336	0.755667900	0.015064510	0.214849500	0.053941220	0.062392370	0.026720850	0.005527271	-0.199784900	0.529820100
00:00:03.378	0.757209300	0.013472680	0.215531100	0.057257980	0.064252160	0.025251130	0.005119283	-0.202058400	0.551706700
00:00:03.420	0.758265300	0.012062860	0.217429400	0.060577840	0.066750980	0.023706890	0.004745481	-0.205366600	0.570481500
00:00:03.461	0.760461400	0.010824160	0.217589900	0.063666120	0.069144000	0.022134280	0.004405777	-0.206765700	0.581132000
00:00:03.503	0.763071300	0.009724792	0.217064800	0.066448190	0.072215380	0.020569960	0.004101664	-0.207340000	0.585861700
00:00:03.545	0.766057500	0.008748090	0.215973200	0.068979090	0.074729510	0.019040410	0.003830727	-0.207225100	0.586303300
00:00:03.586	0.769286800	0.007878021	0.214512400	0.071433580	0.076924440	0.017567000	0.003590183	-0.206634400	0.586303300
00:00:03.628	0.772328600	0.007104414	0.213427200	0.073269170	0.079231250	0.016158980	0.003381721	-0.206322800	0.585846800
00:00:03.670	0.775767100	0.006435646	0.212246100	0.074959350	0.081485560	0.014821380	0.003194560	-0.205810400	0.585175100
00:00:03.712	0.779360900	0.005866362	0.211103400	0.076528310	0.083613010	0.013561750	0.003025195	-0.205237100	0.584303500
00:00:03.753	0.783000800	0.005353650	0.209461500	0.078116070	0.085498970	0.012386320	0.002876041	-0.204107900	0.583246200
00:00:03.795	0.786577400	0.004900724	0.207532300	0.080151330	0.087056550	0.011294500	0.002743502	-0.202631500	0.582017000
00:00:03.837	0.790088600	0.004501109	0.205302900	0.082089730	0.088659700	0.010282750	0.002626425	-0.200801800	0.580628200
00:00:03.878	0.793361000	0.004146663	0.202676700	0.084360540	0.090526400	0.009355034	0.002517779	-0.198530000	0.579093000
00:00:03.920	0.797351300	0.003845511	0.198885100	0.086989810	0.092245610	0.008502574	0.002391825	-0.195039600	0.577422200
00:00:03.962	0.801273800	0.003551751	0.195383500	0.089150620	0.092930130	0.007724751	0.002255147	-0.191831700	0.575571800
00:00:04.003	0.804585300	0.003268748	0.192220100	0.090831000	0.093708140	0.007022163	0.002112867	-0.188951400	0.573703700
00:00:04.045	0.807595600	0.002998827	0.189511900	0.091835080	0.094249640	0.006379549	0.001968913	-0.186513100	0.571866500
