Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Neutral
00:01:51.069	Unknown
00:02:48.918	Neutral
00:02:53.590	Unknown
00:02:54.424	Neutral
00:03:05.602	Unknown
00:03:06.978	Neutral
00:03:16.196	Unknown
00:03:16.821	Neutral
00:03:18.531	Unknown
00:03:19.157	Neutral
00:03:19.949	Sad
00:03:21.075	Neutral
00:03:31.419	Unknown
00:03:53.650	Neutral
00:03:58.947	Unknown
00:03:59.656	Neutral
00:04:27.558	Unknown
00:04:28.142	Neutral
00:04:42.156	Sad
00:04:49.914	Neutral
00:04:55.628	Sad
00:04:56.212	Neutral
00:05:02.677	Unknown
00:05:10.685	Neutral
00:05:14.313	Unknown
00:06:54.580	Neutral
00:07:24.652	Unknown
00:07:25.403	Neutral
00:07:39.917	Unknown
00:07:41.961	Neutral
00:08:05.902	Unknown
00:08:09.238	Neutral
00:08:25.630	Unknown
00:08:39.852	Neutral
00:08:41.103	Unknown
00:09:05.795	Neutral
00:09:08.798	Sad
00:09:12.510	Unknown
00:10:13.195	Neutral
00:10:46.103	Unknown
00:11:02.912	Neutral
00:11:03.454	Unknown
00:11:04.205	Neutral
00:11:07.458	Sad
00:11:10.628	Neutral
00:11:12.713	Sad
00:11:15.508	Neutral
00:11:19.387	Unknown
00:11:35.986	Neutral
00:11:38.155	Unknown
00:11:39.657	Neutral
00:11:52.837	Unknown
00:12:14.358	Neutral
00:12:18.154	Unknown
00:12:28.080	Neutral
00:12:32.126	Unknown
00:12:48.142	Neutral
00:12:50.936	Unknown
00:12:52.771	Neutral
00:12:53.939	Unknown
00:13:00.613	Neutral
00:13:02.490	Unknown
00:13:42.696	Neutral
00:13:43.948	Unknown
00:13:46.200	Neutral
00:13:48.577	Unknown
00:13:52.414	Neutral
00:13:53.541	Unknown
00:13:55.084	Sad
00:13:55.626	Unknown
00:13:58.712	Neutral
00:14:10.140	Unknown
00:14:31.495	Neutral
00:14:33.581	Unknown
00:16:03.921	END
