Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Neutral
00:03:08.271	Sad
00:03:10.106	Neutral
00:03:24.370	Sad
00:03:26.789	Neutral
00:03:44.724	Sad
00:03:45.725	Neutral
00:03:51.439	Sad
00:03:52.565	Neutral
00:03:53.191	Sad
00:03:53.858	Neutral
00:03:57.237	Sad
00:04:01.950	Neutral
00:04:03.868	Sad
00:04:11.709	Neutral
00:04:18.549	Sad
00:04:47.704	Neutral
00:04:52.000	Sad
00:04:58.965	Neutral
00:05:05.054	Sad
00:05:06.222	Neutral
00:05:06.848	Sad
00:05:08.141	Neutral
00:05:08.933	Sad
00:05:09.684	Neutral
00:05:49.724	Sad
00:05:50.975	Neutral
00:05:55.146	Sad
00:05:57.440	Neutral
00:05:58.399	Sad
00:06:05.573	Neutral
00:06:10.411	Sad
00:06:21.422	Neutral
00:06:32.600	Sad
00:06:36.312	Neutral
00:06:41.025	Sad
00:07:03.047	Neutral
00:07:08.511	Sad
00:07:09.178	Neutral
00:07:26.362	Sad
00:07:30.366	Neutral
00:07:38.040	Sad
00:07:38.958	Neutral
00:07:42.920	Sad
00:07:47.717	Neutral
00:08:12.700	Sad
00:08:40.144	Neutral
00:08:43.356	Sad
00:08:45.483	Neutral
00:08:58.329	Sad
00:09:26.983	Neutral
00:09:36.701	Sad
00:09:39.078	Neutral
00:09:52.091	Unknown
00:09:53.551	Neutral
00:10:33.924	Sad
00:10:36.761	Neutral
00:11:11.295	Unknown
00:11:35.444	Neutral
00:11:41.367	Unknown
00:11:47.081	Neutral
00:11:48.791	Unknown
00:11:49.959	Neutral
00:12:01.887	Unknown
00:12:29.915	Neutral
00:12:35.337	Unknown
00:12:36.422	Neutral
00:12:39.133	Unknown
00:12:40.301	Neutral
00:12:58.402	Sad
00:13:09.705	Neutral
00:13:10.289	Sad
00:13:14.084	Neutral
00:13:15.169	Sad
00:13:18.214	Neutral
00:13:19.048	Sad
00:13:27.139	Neutral
00:15:15.039	Sad
00:15:20.794	Neutral
00:16:03.921	END
