Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Neutral
00:00:06.172	Sad
00:00:11.803	Neutral
00:00:15.348	Unknown
00:00:26.151	Neutral
00:00:31.698	Unknown
00:00:38.580	Neutral
00:00:48.006	Unknown
00:00:49.466	Neutral
00:00:56.306	Sad
00:01:12.947	Neutral
00:01:13.948	Sad
00:01:23.249	Unknown
00:02:08.878	Neutral
00:02:10.713	Unknown
00:02:15.009	Neutral
00:02:47.000	Unknown
00:02:51.379	Neutral
00:02:53.464	Unknown
00:03:02.098	Neutral
00:03:04.434	Unknown
00:03:57.111	Neutral
00:03:57.820	Unknown
00:04:36.859	Neutral
00:04:41.948	Unknown
00:04:43.324	Neutral
00:04:54.961	Unknown
00:04:58.423	Neutral
00:05:00.091	Unknown
00:05:03.386	Neutral
00:05:06.389	Unknown
00:05:07.473	Neutral
00:05:25.366	Unknown
00:05:26.284	Neutral
00:05:27.118	Unknown
00:05:38.296	Neutral
00:05:52.477	Unknown
00:06:28.388	Neutral
00:06:35.645	Unknown
00:06:44.362	Neutral
00:06:54.664	Unknown
00:07:48.551	Neutral
00:07:51.470	Unknown
00:08:05.443	Neutral
00:08:10.489	Sad
00:08:11.324	Neutral
00:08:37.183	Unknown
00:08:49.737	Neutral
00:08:51.656	Unknown
00:09:25.481	Neutral
00:09:26.732	Unknown
00:09:27.483	Neutral
00:09:51.674	Unknown
00:10:11.277	Neutral
00:10:33.674	Sad
00:10:42.266	Neutral
00:10:47.146	Sad
00:10:49.398	Neutral
00:10:54.236	Sad
00:10:55.905	Neutral
00:11:12.088	Sad
00:11:13.255	Neutral
00:11:23.808	Sad
00:11:25.309	Neutral
00:16:03.921	END
