Video analysis state log

Face Model:	General
Frame rate:	23.98

Video Time	Emotion
00:00:00.000	Unknown
00:00:01.042	Neutral
00:00:05.046	Sad
00:00:06.464	Unknown
00:00:16.433	Neutral
00:00:18.601	Unknown
00:00:19.978	Neutral
00:00:23.106	Unknown
00:00:25.442	Neutral
00:00:28.194	Unknown
00:00:29.195	Neutral
00:00:35.118	Unknown
00:00:35.827	Neutral
00:00:48.214	Unknown
00:00:48.757	Neutral
00:01:07.025	Sad
00:01:08.651	Unknown
00:01:09.903	Neutral
00:01:12.572	Unknown
00:01:13.990	Neutral
00:01:14.532	Sad
00:01:22.665	Unknown
00:01:24.083	Neutral
00:01:27.629	Sad
00:01:29.506	Neutral
00:01:50.819	Unknown
00:02:03.039	Neutral
00:02:04.082	Unknown
00:02:05.333	Sad
00:02:15.343	Unknown
00:02:17.303	Neutral
00:02:19.556	Unknown
00:02:27.605	Neutral
00:02:28.565	Unknown
00:02:42.370	Sad
00:02:43.162	Unknown
00:02:50.336	Neutral
00:03:22.869	Sad
00:03:24.370	Neutral
00:03:25.038	Sad
00:03:26.039	Neutral
00:03:28.124	Sad
00:03:30.710	Neutral
00:03:32.045	Unknown
00:03:34.589	Neutral
00:03:38.885	Unknown
00:03:40.845	Neutral
00:03:51.189	Unknown
00:03:51.856	Neutral
00:04:12.377	Unknown
00:04:40.947	Neutral
00:04:54.043	Unknown
00:04:55.211	Sad
00:04:58.089	Neutral
00:05:11.019	Unknown
00:05:11.811	Neutral
00:05:25.491	Sad
00:05:30.288	Neutral
00:05:31.956	Sad
00:05:35.251	Neutral
00:06:04.072	Sad
00:06:07.158	Neutral
00:06:35.436	Unknown
00:06:39.649	Sad
00:06:40.274	Neutral
00:06:49.784	Sad
00:06:50.660	Neutral
00:07:02.338	Unknown
00:07:03.297	Neutral
00:07:04.090	Unknown
00:07:09.637	Neutral
00:07:11.180	Unknown
00:07:13.558	Neutral
00:07:16.394	Unknown
00:07:18.521	Neutral
00:07:19.397	Unknown
00:07:33.202	Neutral
00:07:39.625	Sad
00:07:48.342	Neutral
00:07:50.553	Sad
00:07:54.807	Neutral
00:07:58.686	Unknown
00:07:59.937	Neutral
00:08:01.230	Sad
00:08:01.814	Neutral
00:08:06.068	Unknown
00:08:08.654	Neutral
00:08:14.076	Sad
00:08:15.161	Neutral
00:08:28.466	Unknown
00:08:29.258	Neutral
00:08:36.516	Sad
00:08:37.099	Neutral
00:08:45.650	Unknown
00:08:48.027	Neutral
00:08:48.569	Unknown
00:08:50.613	Neutral
00:09:06.796	Sad
00:09:07.546	Neutral
00:09:09.173	Unknown
00:09:10.383	Neutral
00:09:14.053	Sad
00:09:17.890	Neutral
00:09:21.519	Unknown
00:09:25.523	Neutral
00:09:29.610	Unknown
00:09:32.572	Neutral
00:09:34.615	Unknown
00:09:35.574	Neutral
00:09:48.963	Unknown
00:09:50.673	Neutral
00:09:52.425	Sad
00:09:56.262	Neutral
00:09:58.723	Sad
00:09:59.724	Neutral
00:10:05.271	Unknown
00:10:11.360	Neutral
00:10:12.903	Unknown
00:10:15.531	Neutral
00:10:17.575	Unknown
00:10:20.745	Neutral
00:10:48.147	Unknown
00:10:48.689	Neutral
00:10:57.281	Unknown
00:10:58.449	Neutral
00:11:08.542	Unknown
00:11:22.223	Sad
00:11:30.898	Neutral
00:11:31.440	Sad
00:11:32.358	Neutral
00:11:37.613	Sad
00:11:39.156	Neutral
00:11:40.282	Sad
00:11:41.033	Unknown
00:11:42.618	Neutral
00:11:48.499	Sad
00:11:49.333	Neutral
00:11:50.835	Happy
00:11:54.797	Neutral
00:12:18.988	Unknown
00:12:24.243	Neutral
00:12:24.994	Unknown
00:12:40.801	Neutral
00:12:41.343	Unknown
00:12:41.927	Neutral
00:13:01.822	Unknown
00:13:03.032	Neutral
00:13:04.158	Sad
00:13:07.661	Neutral
00:13:19.632	Unknown
00:13:30.226	Neutral
00:13:45.616	Unknown
00:13:46.992	Neutral
00:13:52.706	Unknown
00:13:54.833	Neutral
00:13:56.669	Unknown
00:13:57.294	Neutral
00:13:58.045	Unknown
00:14:00.381	Sad
00:14:01.674	Neutral
00:14:09.223	Unknown
00:14:11.433	Neutral
00:14:15.354	Unknown
00:14:17.523	Neutral
00:14:21.026	Sad
00:14:27.408	Unknown
00:14:29.493	Neutral
00:14:30.369	Sad
00:14:32.288	Neutral
00:14:35.624	Sad
00:14:42.298	Neutral
00:14:45.175	Unknown
00:15:04.069	Neutral
00:15:06.488	Unknown
00:15:08.198	Neutral
00:15:12.536	Sad
00:15:13.662	Neutral
00:15:55.704	Unknown
00:15:58.248	Neutral
00:16:03.921	END
