calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
502.3595,562.486,545.921,606.7625,1612.883,1673.6235,1657.0775,1717.501
684.053,623.345,727.8635,667.488,1734.067,1794.5925,1778.045,1838.219
804.555,744.412,848.1155,788.006,1854.768,1914.993,1898.394,1959.237
864.6955,925.571,909.0065,969.8165,1975.8025,2036.6275,2020.063,2080.454
1061.821,1001.461,1105.382,1045.272,2111.983,2171.544,2154.9775,2215.254
1121.98,1182.7705,1166.2395,1226.8325,2292.511,2231.8175,2336.3215,2275.9615
1303.905,1243.396,1347.434,1287.408,2413.261,2352.9025,2457.6055,2396.6975
1425.1405,1363.981,1469.1,1408.559,2534.7955,2474.17,2578.6725,2518.2475
