calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
801.5825,861.9425,801.983,862.3255,1895.107,1953.7985,1895.4245,1954.3145
803.599,863.8575,804.032,864.374,1897.023,1955.831,1897.491,1956.3475
805.6495,865.907,806.065,866.424,1899.106,1957.864,1899.3725,1958.364
807.6985,867.957,808.1325,868.207,1900.956,1959.897,1901.405,1960.3135
809.732,869.74,810.1815,870.1235,1903.0045,1961.847,1903.338,1962.3645
811.7645,871.6565,812.132,872.191,1904.9545,1964.0145,1905.2555,1964.431
813.6985,873.707,814.232,874.173,1906.854,1966.064,1907.1215,1966.5635
815.8305,875.774,816.197,876.324,1908.772,1968.231,1909.205,1968.6305
817.815,877.8565,818.0815,878.3735,1910.838,1970.23,1911.0715,1970.7805
819.715,879.906,819.998,880.423,1912.654,1972.3965,1912.8365,1972.9465
821.715,881.957,822.031,882.472,1914.4705,1974.4955,1914.9375,1974.9785
974.4935,914.135,975.0095,914.669,2006.6255,2064.85,2007.159,2065.3665
976.593,916.3015,977.127,916.8185,2008.8085,2066.933,2009.142,2067.4845
978.71,918.485,979.244,919.0185,2010.758,2069.134,2011.2415,2069.6675
980.81,920.669,981.192,921.1175,2012.9075,2071.2835,2013.241,2071.667
982.759,922.751,983.293,923.1015,2014.8425,2073.3335,2015.14,2073.6665
984.825,924.7665,985.3085,925.1505,2016.757,2075.283,2017.1905,2075.6655
986.858,926.817,987.2415,927.3675,2018.79,2077.2325,2019.09,2077.5985
988.86,929.0345,989.3755,929.5165,2020.689,2079.215,2020.9555,2079.598
990.926,931.1505,991.4575,931.684,2022.5905,2081.148,2022.972,2081.498
993.0085,933.234,993.525,933.7,2024.59,2083.1155,2024.923,2083.4985
995.0755,935.2495,995.6255,935.766,2026.523,2085.1145,2027.039,2085.498
997.158,937.282,997.5905,937.798,2028.5715,2087.0805,2028.9385,2087.4635
999.2245,939.3985,999.6405,939.9145,2030.5045,2089.0635,2030.805,2089.4645
1001.291,941.514,1001.7075,941.964,2032.4555,2091.065,2032.7555,2091.4305
1003.3575,943.582,1003.707,944.098,2034.4055,2093.031,2034.572,2093.4965
1005.222,945.681,1005.6055,946.1975,2036.188,2095.114,2036.605,2095.4975
1007.122,947.78,1007.472,948.013,2038.255,2097.096,2038.521,2097.647
1008.9885,949.6475,1009.305,950.1635,2040.1365,2099.3475,2040.471,2099.864
1010.8215,951.697,1011.288,952.23,2042.121,2101.5135,2042.4375,2102.063
1012.8045,953.7635,1013.3045,954.297,2044.0865,2103.613,2044.4525,2104.0795
1014.839,955.812,1015.1725,956.062,2046.138,2105.7295,2046.4025,2106.279
1016.739,957.595,1017.154,957.945,2048.053,2107.8295,2048.303,2108.3795
1033.72,1091.262,1034.253,1091.7945,2185.1025,2124.993,2185.6185,2125.5085
1035.9025,1093.411,1036.438,1093.961,2187.319,2127.0415,2187.8015,2127.558
1038.0695,1095.561,1038.436,1096.077,2189.4185,2129.0915,2189.784,2129.608
1040.103,1097.7285,1040.351,1098.046,2191.4345,2131.141,2191.6845,2131.5075
1041.9845,1099.711,1042.3185,1100.261,2193.3675,2133.041,2193.6845,2133.5585
1043.885,1101.9105,1044.202,1102.2595,2195.216,2135.2265,2195.5495,2135.7585
1045.8175,1103.8935,1046.217,1104.228,2197.0825,2137.3915,2197.3325,2137.758
1047.7665,1105.759,1047.9665,1106.2755,2198.8655,2139.3405,2199.282,2139.708
1049.55,1107.792,1050.017,1108.292,2200.8155,2141.291,2201.115,2141.658
1051.634,1109.825,1051.9835,1110.3415,2202.6485,2143.2565,2202.9315,2143.69
1053.5835,1111.858,1054.049,1112.3745,2204.566,2145.273,2204.9995,2145.824
1055.5655,1113.8915,1055.799,1114.426,2206.6155,2147.356,2206.966,2147.9075
1057.3155,1115.9755,1057.582,1116.492,2208.5485,2149.4395,2208.9145,2149.9725
1059.0985,1118.1425,1059.4315,1118.526,2210.5155,2151.4885,2210.814,2152.022
1060.965,1120.1915,1061.4315,1120.7265,2212.4165,2153.5555,2212.664,2154.0215
1062.965,1122.2745,1063.2645,1122.8235,2214.2635,2155.6055,2214.5635,2156.1565
1064.8145,1124.39,1065.1315,1124.891,2216.181,2157.7045,2216.447,2158.121
1066.7655,1126.457,1067.0655,1127.008,2218.0475,2159.7375,2218.4495,2160.289
1068.665,1128.624,1068.898,1129.157,2220.031,2161.922,2220.38,2162.471
1070.4805,1130.6905,1070.7315,1131.2055,2221.946,2163.987,2222.3125,2164.47
1072.3815,1132.7405,1072.7335,1133.273,2223.9125,2166.0535,2224.413,2166.587
1074.398,1134.791,1074.6645,1135.323,2226.0125,2168.153,2226.3285,2168.503
1213.663,1151.903,1214.195,1152.4195,2302.8195,2242.928,2303.3365,2243.461
1215.796,1154.054,1216.178,1154.586,2304.919,2245.0775,2305.436,2245.611
1217.778,1156.169,1218.062,1156.7025,2306.952,2247.177,2307.3695,2247.6925
1219.679,1158.32,1219.9785,1158.852,2309.002,2249.31,2309.3355,2249.643
1221.528,1160.402,1221.844,1160.8865,2310.9355,2251.242,2311.201,2251.526
1223.4115,1162.419,1223.9115,1162.9685,2312.7685,2253.093,2313.035,2253.393
1225.545,1164.6025,1225.911,1165.136,2314.668,2255.0085,2315.0345,2255.442
1227.5615,1166.668,1227.9775,1167.1845,2316.6335,2257.0425,2316.901,2257.358
1229.644,1168.7195,1230.027,1169.219,2318.551,2259.026,2318.868,2259.4595
1231.593,1170.8185,1231.927,1171.369,2320.501,2261.11,2320.734,2261.525
1233.5255,1173.0355,1233.9605,1173.4685,2322.3175,2263.142,2322.717,2263.492
1235.5425,1175.168,1235.942,1175.7355,2324.3675,2265.1415,2324.6505,2265.5245
1237.5085,1177.2675,1237.875,1177.8005,2326.267,2267.1745,2326.5325,2267.5745
1239.4925,1179.4505,1240.009,1179.9495,2328.099,2269.208,2328.3495,2269.625
1241.5425,1181.601,1241.9425,1182.134,2329.9835,2271.2575,2330.2825,2271.707
1243.541,1183.8005,1243.9245,1184.217,2331.8815,2273.3075,2332.1485,2273.6735
1245.542,1185.8495,1245.9575,1186.283,2333.766,2275.307,2334.1485,2275.674
1247.557,1187.917,1247.9245,1188.4655,2335.7655,2277.3405,2336.1655,2277.807
1249.5755,1190.0665,1249.958,1190.5825,2337.7315,2279.5235,2338.0975,2279.9235
1251.608,1192.137,1252.025,1192.6655,2339.698,2281.573,2339.998,2282.1225
1253.6585,1194.349,1254.075,1194.8995,2341.5475,2283.656,2341.8475,2284.205
1255.707,1196.5655,1256.1405,1197.099,2343.3965,2285.74,2343.648,2286.2555
1332.598,1272.704,1333.147,1273.2385,2420.338,2360.262,2420.871,2360.7945
1334.7635,1274.8875,1335.1795,1275.422,2422.5545,2362.394,2423.086,2362.928
1336.7955,1276.987,1337.0805,1277.521,2424.671,2364.544,2424.9875,2365.077
1338.7305,1279.121,1339.097,1279.6535,2426.6035,2366.6605,2426.8045,2366.9615
1340.779,1281.1705,1341.096,1281.6865,2428.4705,2368.611,2428.769,2368.928
1342.796,1283.221,1343.113,1283.6205,2430.403,2370.5775,2430.687,2370.9265
1344.763,1285.253,1345.146,1285.62,2432.336,2372.5105,2432.736,2372.8265
1346.745,1287.2545,1347.095,1287.57,2434.4025,2374.393,2434.753,2374.6435
1348.6945,1289.1685,1349.1115,1289.536,2436.4025,2376.243,2436.7175,2376.692
1350.6435,1291.1025,1351.0435,1291.6185,2438.368,2378.2755,2438.7185,2378.6085
1352.5765,1293.135,1353.0265,1293.518,2440.284,2380.26,2440.5175,2380.8095
1354.5595,1295.1345,1354.743,1295.602,2442.1005,2382.426,2442.4835,2382.959
1356.276,1297.1845,1356.5425,1297.535,2444.0835,2384.61,2444.35,2385.1595
1358.177,1299.168,1358.477,1299.585,2445.934,2386.709,2446.184,2387.241
1360.11,1301.2185,1360.4435,1301.485,2447.801,2388.824,2448.233,2389.357
1362.0095,1303.0665,1362.2925,1303.5845,2449.867,2390.8905,2450.116,2391.4245
1363.892,1305.1175,1364.192,1305.65,2451.734,2392.957,2451.9655,2393.291
1365.8085,1307.167,1366.3415,1307.6665,2453.5665,2394.9065,2453.832,2395.4405
1367.8915,1309.3005,1368.258,1309.8325,2455.433,2397.023,2455.6315,2397.5565
1369.9255,1311.367,1370.209,1311.882,2457.283,2399.089,2457.516,2399.524
1371.825,1313.418,1372.059,1313.8155,2459.132,2401.1055,2459.2825,2401.639
1373.6745,1315.517,1373.908,1315.9665,2460.8985,2403.172,2461.1985,2403.7235
