calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
1166.4885,1226.1975,1209.616,1270.0745,2268.2275,2327.003,2310.455,2370.314
1346.865,1286.6225,1390.26,1330.3165,2386.8455,2446.1545,2429.623,2489.3655
1466.5655,1406.7895,1510.8775,1450.035,2505.8635,2564.8905,2548.308,2609.468
1527.491,1587.8165,1571.2685,1631.395,2626.0315,2687.325,2670.7595,2731.3865
1723.1825,1662.9735,1767.0765,1706.651,2763.0145,2824.2905,2807.692,2868.9505
1783.6415,1844.1995,1827.652,1888.2445,2946.491,2885.548,2990.001,2929.9085
1964.8845,1904.775,2007.9275,1948.3195,3067.7425,3006.533,3112.2685,3051.1775
2083.768,2024.459,2126.629,2067.2365,3189.2585,3128.866,3233.221,3172.6775
