calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
1054.232,1115.0415,1054.766,1115.5755,2177.4195,2238.429,2177.953,2238.8795
1056.282,1117.091,1056.799,1117.609,2179.471,2240.512,2180.0025,2241.046
1058.333,1119.1245,1058.866,1119.641,2181.5365,2242.5945,2182.054,2243.129
1060.481,1121.1745,1060.9315,1121.6905,2183.6525,2244.662,2184.1355,2245.195
1062.5505,1123.3075,1063.082,1123.8405,2185.7365,2246.745,2186.2685,2247.2945
1064.614,1125.357,1065.1305,1125.8895,2187.886,2248.845,2188.418,2249.3775
1066.665,1127.4235,1067.198,1127.957,2189.9845,2250.9115,2190.5185,2251.4445
1068.8135,1129.4905,1069.348,1130.0225,2192.0515,2252.978,2192.5695,2253.4115
1070.881,1131.5565,1071.397,1132.09,2194.102,2255.0275,2194.6175,2255.5605
1072.913,1133.6075,1073.4465,1134.139,2196.134,2257.11,2196.6355,2257.6435
1075.0635,1135.7385,1075.58,1136.273,2198.2345,2259.1925,2198.7505,2259.742
1077.096,1137.8885,1077.629,1138.172,2200.2675,2261.276,2200.7845,2261.809
1230.6255,1169.8015,1231.1605,1170.334,2293.4715,2353.9645,2294.005,2354.498
1232.7435,1171.934,1233.2935,1172.4665,2295.622,2356.081,2296.1545,2356.6145
1234.8275,1174.084,1235.3755,1174.6,2297.688,2358.1975,2298.2215,2358.7295
1236.9105,1176.217,1237.444,1176.7335,2299.755,2360.2965,2300.288,2360.83
1238.992,1178.266,1239.526,1178.783,2301.888,2362.3465,2302.421,2362.8795
1241.059,1180.3155,1241.593,1180.8495,2304.054,2364.3965,2304.5885,2364.9285
1243.1245,1182.3655,1243.674,1182.8825,2306.121,2366.4465,2306.603,2366.98
1245.2085,1184.4165,1245.741,1184.9485,2308.2205,2368.513,2308.7365,2369.0445
1247.3575,1186.482,1247.891,1186.9985,2310.253,2370.5625,2310.77,2371.078
1249.508,1188.5155,1250.041,1189.049,2312.303,2372.595,2312.7365,2373.1285
1251.574,1190.5645,1252.106,1191.098,2314.3365,2374.6615,2314.7685,2375.195
1253.723,1192.6475,1254.256,1193.181,2316.3525,2376.7945,2316.8695,2377.295
1255.79,1194.7315,1256.3235,1195.266,2318.4515,2378.9275,2318.9855,2379.444
1257.856,1196.814,1258.3895,1197.349,2320.518,2380.9775,2321.052,2381.4595
1259.9235,1198.882,1260.473,1199.348,2322.634,2383.043,2323.1505,2383.561
1262.006,1200.963,1262.5395,1201.4975,2324.6845,2385.077,2325.135,2385.5925
1264.0725,1203.1135,1264.605,1203.6465,2326.7505,2387.1275,2327.2505,2387.6605
1266.221,1205.1805,1266.7555,1205.73,2328.8665,2389.193,2329.3835,2389.7275
1268.354,1207.2635,1268.8875,1207.795,2330.916,2391.2595,2331.2995,2391.776
1270.438,1209.3455,1270.954,1209.896,2332.8325,2393.2915,2333.299,2393.8085
1272.571,1211.4455,1273.104,1211.978,2334.832,2395.342,2335.349,2395.8595
1274.6365,1213.513,1275.1705,1214.063,2336.8655,2397.391,2337.382,2397.924
1291.769,1352.51,1292.319,1353.027,2474.5155,2414.473,2475.0475,2414.9895
1293.9525,1354.5935,1294.4855,1355.1275,2476.665,2416.5885,2477.1985,2417.1225
1296.036,1356.7445,1296.5855,1357.278,2478.7315,2418.722,2479.215,2419.239
1298.1175,1358.8765,1298.6505,1359.3925,2480.8145,2420.8215,2481.331,2421.3555
1300.1855,1360.909,1300.7165,1361.443,2482.93,2422.888,2483.347,2423.422
1302.2495,1362.976,1302.783,1363.511,2484.9475,2424.9385,2485.364,2425.455
1304.301,1365.026,1304.8325,1365.559,2486.963,2426.987,2487.496,2427.504
1306.367,1367.0755,1306.8995,1367.5915,2489.03,2429.0215,2489.563,2429.5375
1308.5,1369.1245,1309.0165,1369.5745,2491.18,2431.1375,2491.6465,2431.6705
1310.55,1371.159,1311.082,1371.6755,2493.2795,2433.253,2493.796,2433.7705
1312.615,1373.1915,1313.115,1373.709,2495.413,2435.3035,2495.962,2435.8205
1314.7,1375.2415,1315.232,1375.774,2497.4955,2437.3525,2498.0285,2437.7695
1316.765,1377.307,1317.2825,1377.84,2499.5625,2439.3695,2500.1115,2439.903
1318.8145,1379.375,1319.348,1379.8915,2501.6445,2441.402,2502.178,2441.9185
1320.8825,1381.4235,1321.4145,1381.9565,2503.694,2443.418,2504.2275,2443.918
1322.949,1383.473,1323.481,1384.006,2505.778,2445.418,2506.3285,2445.918
1325.0155,1385.54,1325.547,1386.073,2507.8775,2447.4175,2508.3435,2447.801
1327.0805,1387.6065,1327.6145,1388.122,2509.9435,2449.3175,2510.4775,2449.7675
1329.1475,1389.7555,1329.681,1390.29,2512.1095,2451.3185,2512.6435,2451.852
1331.28,1391.8225,1331.814,1392.34,2514.177,2453.384,2514.7095,2453.82
1333.346,1393.888,1333.881,1394.4045,2516.2605,2455.401,2516.76,2455.8245
1335.4145,1395.938,1335.9465,1396.4545,2518.3595,2457.417,2518.894,2457.951
1473.345,1413.0025,1473.8795,1413.5195,2596.5165,2535.5075,2597.0655,2536.041
