calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
582.0655,642.9085,626.326,686.385,1689.338,1749.1465,1732.6155,1792.441
763.0435,702.933,807.1535,746.4955,1808.9725,1868.4645,1851.967,1911.709
884.3255,823.685,928.6695,867.7785,1928.24,1988.049,1971.518,2031.3435
945.202,1005.5765,989.046,1048.9705,2047.875,2107.5835,2091.0855,2150.3785
1140.0255,1080.5,1183.27,1123.4775,2181.957,2241.716,2225.185,2284.977
1199.801,1259.577,1243.0455,1302.421,2361.2005,2301.5085,2403.8785,2344.703
1378.195,1318.9355,1421.506,1361.6635,2480.2355,2420.4095,2523.4795,2463.704
1497.4795,1438.037,1540.7405,1480.948,2599.2365,2540.011,2641.781,2582.6885
