calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
1166.4885,1226.1975,1166.9875,1226.73,2268.2275,2327.003,2268.744,2327.5195
1168.504,1228.3135,1169.0035,1228.846,2270.277,2329.0525,2270.7935,2329.5695
1170.5035,1230.43,1171.0035,1230.9625,2272.31,2331.1025,2272.7765,2331.619
1172.5035,1232.5625,1173.003,1233.0955,2274.31,2333.152,2274.7595,2333.6685
1174.503,1234.6295,1175.003,1235.1625,2276.293,2335.202,2276.676,2335.7185
1176.503,1236.6785,1177.02,1237.2115,2278.2095,2337.235,2278.6925,2337.7515
1178.5365,1238.745,1179.0525,1239.2785,2280.2255,2339.268,2280.7255,2339.7845
1180.5695,1240.829,1181.086,1241.3625,2282.259,2341.301,2282.642,2341.8175
1182.603,1242.8945,1183.119,1243.4285,2284.175,2343.334,2284.692,2343.8505
1184.6355,1244.961,1185.152,1245.4945,2286.208,2345.3675,2286.725,2345.884
1186.669,1247.027,1187.135,1247.5435,2288.258,2347.4005,2288.741,2347.917
1188.7015,1249.06,1189.219,1249.5765,2290.2745,2349.4335,2290.791,2349.95
1190.7355,1251.093,1191.251,1251.6095,2292.3075,2351.4665,2292.791,2351.983
1192.7685,1253.126,1193.285,1253.6425,2294.324,2353.4995,2294.674,2354.016
1194.8185,1255.159,1195.3515,1255.6755,2296.207,2355.5325,2296.6235,2356.049
1196.8845,1257.2095,1197.418,1257.7425,2298.157,2357.566,2298.6735,2358.0825
1198.9515,1259.259,1199.4845,1259.7925,2300.19,2359.599,2300.6565,2360.1155
1201,1261.3085,1201.517,1261.842,2302.1895,2361.632,2302.706,2362.1485
1203.033,1263.375,1203.55,1263.892,2304.2225,2363.698,2304.506,2364.215
1205.0665,1265.4245,1205.549,1265.958,2306.039,2365.7315,2306.456,2366.248
1207.116,1267.4915,1207.6325,1268.0245,2307.989,2367.7645,2308.5055,2368.281
1209.149,1269.541,1209.616,1270.0745,2310.022,2369.7975,2310.455,2370.314
1346.865,1286.6225,1347.3975,1287.156,2386.8455,2446.1545,2387.3625,2446.671
1349.015,1288.739,1349.548,1289.255,2388.912,2448.2205,2389.4285,2448.7375
1351.1135,1290.805,1351.6305,1291.3385,2390.945,2450.287,2391.4615,2450.8035
1353.1475,1292.9215,1353.6805,1293.4715,2392.978,2452.3535,2393.3945,2452.8705
1355.197,1295.005,1355.73,1295.5385,2394.9445,2454.42,2395.461,2454.9365
1357.2465,1297.0885,1357.763,1297.6385,2396.9775,2456.453,2397.394,2456.9695
1359.28,1299.188,1359.796,1299.739,2398.944,2458.486,2399.3435,2459.0025
1361.329,1301.271,1361.8455,1301.821,2400.8935,2460.5195,2401.41,2461.036
1363.363,1303.354,1363.8125,1303.8875,2402.96,2462.5525,2403.4765,2463.069
1365.379,1305.437,1365.895,1305.971,2404.993,2464.5855,2405.443,2465.102
1367.412,1307.5035,1367.928,1308.0355,2406.9925,2466.6185,2407.4095,2467.0685
