calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
502.3595,562.486,502.876,563.0025,1612.883,1673.6235,1613.4155,1674.14
504.409,564.635,504.9255,565.1695,1614.998,1675.673,1615.515,1676.19
506.442,566.8185,506.9585,567.352,1617.031,1677.723,1617.565,1678.2395
508.4585,568.985,508.975,569.5185,1619.0975,1679.8395,1619.614,1680.373
510.4915,571.0515,510.9915,571.585,1621.1645,1681.9235,1621.715,1682.4565
512.5265,573.0835,513.059,573.5835,1623.2635,1683.9905,1623.7965,1684.523
514.5925,575.083,515.126,575.583,1625.331,1686.0555,1625.8635,1686.59
516.6575,577.0995,517.192,577.5995,1627.414,1688.1215,1627.947,1688.656
518.7075,579.0995,519.241,579.599,1629.4805,1690.188,1630.0135,1690.7235
520.774,581.099,521.308,581.599,1631.5455,1692.256,1632.081,1692.789
522.84,583.15,523.358,583.7,1633.613,1694.339,1634.1465,1694.8725
524.8905,585.249,525.4075,585.7985,1635.6965,1696.4055,1636.2285,1696.9375
526.9405,587.4665,527.474,588.0165,1637.7785,1698.4715,1638.3115,1699.0035
529.006,589.566,529.5405,590.116,1639.846,1700.5365,1640.3795,1701.07
531.0575,591.6655,531.5725,592.2155,1641.9275,1702.603,1642.4775,1703.1365
533.0895,593.7655,533.622,594.3145,1644.0285,1704.671,1644.578,1705.203
535.1565,595.865,535.6895,596.415,1646.1275,1706.737,1646.6785,1707.2705
537.2215,597.9635,537.7385,598.5145,1648.2275,1708.8205,1648.7785,1709.354
539.272,600.048,539.8055,600.5815,1650.311,1710.8865,1650.8605,1711.402
541.338,602.1145,541.8555,602.63,1652.394,1712.9185,1652.9275,1713.435
543.3715,604.163,543.889,604.6795,1654.46,1714.9515,1654.994,1715.468
545.404,606.2125,545.921,606.7625,1656.5425,1716.9845,1657.0775,1717.501
684.053,623.345,684.57,623.8945,1734.067,1794.5925,1734.6165,1795.1425
686.1535,625.4765,686.6855,626.01,1736.2665,1796.741,1736.8,1797.259
688.202,627.6105,688.7185,628.1435,1738.35,1798.824,1738.883,1799.342
690.2515,629.7605,690.77,630.294,1740.399,1800.9405,1740.9325,1801.4575
692.3015,631.828,692.819,632.3425,1742.4655,1802.9755,1742.998,1803.5065
694.352,633.894,694.869,634.4255,1744.5315,1805.023,1745.0645,1805.5405
696.402,635.96,696.9515,636.492,1746.5815,1807.0575,1747.115,1807.5735
698.469,638.0435,699.0005,638.576,1748.648,1809.106,1749.164,1809.624
700.5345,640.1095,701.05,640.6245,1750.697,1811.14,1751.231,1811.6555
702.5675,642.158,703.1005,642.6915,1752.7465,1813.1885,1753.28,1813.723
704.6345,644.226,705.167,644.7575,1754.813,1815.255,1755.3295,1815.7725
706.684,646.274,707.1995,646.7905,1756.8625,1817.288,1757.4125,1817.8215
708.7505,648.3245,709.2835,648.8575,1758.947,1819.3545,1759.463,1819.8715
710.833,650.375,711.367,650.9245,1760.9965,1821.389,1761.5125,1821.922
712.8995,652.474,713.433,653.008,1763.0455,1823.4375,1763.5785,1823.9555
714.982,654.557,715.516,655.091,1765.113,1825.471,1765.646,1825.9885
717.066,656.6405,717.5995,657.173,1767.2625,1827.504,1767.796,1828.021
719.132,658.69,719.6655,659.2225,1769.312,1829.5375,1769.8455,1830.07
721.182,660.7565,721.699,661.29,1771.361,1831.5875,1771.8785,1832.103
723.232,662.823,723.748,663.355,1773.4115,1833.6195,1773.9285,1834.1535
725.2805,664.8885,725.8145,665.4225,1775.444,1835.669,1775.978,1836.186
727.3465,666.9545,727.8635,667.488,1777.5115,1837.7025,1778.045,1838.219
804.555,744.412,805.072,744.9295,1854.768,1914.993,1855.301,1915.5265
