calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
582.0655,642.9085,582.582,643.442,1689.338,1749.1465,1689.8545,1749.6635
584.166,645.025,584.6985,645.541,1691.404,1751.213,1691.921,1751.7295
586.333,647.1405,586.8655,647.658,1693.4375,1753.263,1693.954,1753.7795
588.398,649.2565,588.5985,649.773,1695.4705,1755.329,1695.987,1755.846
590.2485,651.2895,590.7995,651.8075,1697.5035,1757.3625,1698.02,1757.879
592.332,653.474,592.8815,654.024,1699.5365,1759.3955,1700.0535,1759.912
594.4645,655.5575,594.997,656.089,1701.5695,1761.4285,1702.086,1761.945
596.548,657.6405,597.081,658.19,1703.603,1763.4615,1704.1195,1763.978
598.614,659.723,599.1475,660.256,1705.6355,1765.4945,1706.1525,1766.011
600.6985,661.7895,601.2475,662.322,1707.669,1767.5275,1708.1855,1768.044
602.7645,663.8385,603.2805,664.3715,1709.702,1769.5605,1710.2185,1770.0775
604.8305,665.888,605.3135,666.422,1711.735,1771.594,1712.2515,1772.1105
606.93,667.9555,607.3635,668.489,1713.768,1773.627,1714.2845,1774.1435
609.0135,670.005,609.497,670.521,1715.801,1775.66,1716.3175,1776.1765
611.163,672.054,611.7145,672.57,1717.834,1777.693,1718.3505,1778.2095
613.2625,674.171,613.8125,674.2545,1719.9005,1779.726,1720.417,1780.2425
615.362,675.871,615.8945,676.387,1721.9335,1781.759,1722.45,1782.2755
617.412,677.9205,617.9455,678.4535,1723.9665,1783.792,1724.4835,1784.309
619.495,679.987,620.0285,680.5215,1725.9995,1785.8255,1726.5165,1786.342
621.578,682.1535,622.1285,682.3545,1728.033,1787.8585,1728.5495,1788.375
623.6775,683.9695,624.2275,684.335,1730.066,1789.8915,1730.5825,1790.408
625.7775,685.8685,626.326,686.385,1732.099,1791.9245,1732.6155,1792.441
763.0435,702.933,763.593,703.4495,1808.9725,1868.4645,1809.489,1868.9645
765.209,705.017,765.76,705.55,1811.0385,1870.4975,1811.5055,1870.9975
767.3095,707.1665,767.8425,707.6835,1813.055,1872.5305,1813.572,1873.0305
769.3755,709.266,769.9085,709.783,1815.1215,1874.564,1815.6385,1875.0635
771.441,711.316,771.976,711.849,1817.1545,1876.6135,1817.671,1877.13
773.607,713.3825,774.142,713.8985,1819.1875,1878.6465,1819.704,1879.163
775.7245,715.4145,776.1915,715.949,1821.2205,1880.6795,1821.7375,1881.196
777.773,717.4655,778.3235,717.982,1823.254,1882.713,1823.7705,1883.2295
779.858,719.498,780.406,720.014,1825.287,1884.746,1825.8035,1885.2625
781.9575,721.5665,782.4905,722.098,1827.32,1886.779,1827.8365,1887.2955
