calming_1_back_start,calming_3_back_start,calming_1_back_end,calming_3_back_end,vexing_1_back_start,vexing_3_back_start,vexing_1_back_end,vexing_3_back_end
425.2005,484.711,468.093,527.552,1519.2715,1576.4805,1559.951,1620.0415
605.0755,544.0835,646.3865,588.4785,1636.6405,1694.9985,1678.3855,1738.4425
723.2775,663.0005,763.5725,706.7125,1755.0075,1813.4685,1796.8685,1857.2615
780.136,838.611,822.031,882.472,1873.8415,1931.518,1914.9375,1974.9785
974.4935,914.135,1017.154,957.945,2006.6255,2064.85,2048.303,2108.3795
1033.72,1091.262,1074.6645,1135.323,2185.1025,2124.993,2226.3285,2168.503
1213.663,1151.903,1256.1405,1197.099,2302.8195,2242.928,2343.648,2286.2555
1332.598,1272.704,1373.908,1315.9665,2420.338,2360.262,2461.1985,2403.7235
