2584190726,2584190726,2584190726
32,32,32
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,8
0,-63,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-63,7
0,-63,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,8
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,8
0,-63,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-63,7
0,-63,7
0,-63,7
0,-62,8
0,-62,7
0,-63,7
0,-62,7
0,-63,7
0,-62,7
0,-63,7
0,-63,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,8
0,-62,8
0,-62,7
0,-63,7
0,-63,7
0,-63,7
0,-62,7
0,-63,7
0,-63,7
0,-63,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,8
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,8
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-62,7
0,-62,7
0,-63,7
0,-62,7
0,-63,7
0,-62,7
