participant,trial,condition,mean_eda,mean_ohb,accuracy,mean_rt
4F,23,Vexing 1-back,3.301549768601323986e+00,1.377752746727893432e-04,7.272727272727272929e-01,2.241363636363636260e+02
4F,24,Vexing 3-back,3.069794711936724596e+00,-1.026068253173193011e-04,6.818181818181817677e-01,3.079545454545454390e+02
4F,25,Vexing 1-back,3.413130392255610435e+00,-3.698129117578634524e-04,7.727272727272727071e-01,2.915909090909090651e+02
4F,26,Vexing 3-back,3.222673311688312392e+00,7.460261600890217399e-05,7.272727272727272929e-01,3.470909090909090651e+02
4F,27,Vexing 3-back,3.287969629512742742e+00,9.644778815925150696e-04,6.363636363636363535e-01,3.226363636363636260e+02
4F,28,Vexing 1-back,3.177593830153988108e+00,-4.078681153628049534e-04,8.181818181818182323e-01,2.492272727272727195e+02
4F,29,Vexing 3-back,3.054074618374043926e+00,-7.305104346726189407e-04,5.909090909090909394e-01,2.996818181818181870e+02
4F,30,Vexing 1-back,3.014501188069891313e+00,-1.301066363967261956e-03,8.181818181818182323e-01,2.511818181818181870e+02
4F,31,Vexing 3-back,3.203536377435148186e+00,1.799328283545453822e-04,0.000000000000000000e+00,2.650454545454545610e+02
4F,32,Vexing 1-back,3.174474564685812350e+00,2.452207791712991366e-04,8.636363636363636465e-01,2.557272727272727195e+02
6M,1,Calming 1-back,1.290946428862855155e+00,1.450230398332615371e-04,8.181818181818182323e-01,2.960909090909090651e+02
6M,2,Calming 3-back,1.223460505123596942e+00,-3.201642379191952563e-05,5.909090909090909394e-01,2.191818181818181870e+02
6M,3,Calming 3-back,1.156945669557382761e+00,1.002723191283580895e-05,5.909090909090909394e-01,1.932272727272727195e+02
6M,4,Calming 1-back,1.100112485778605986e+00,2.127864623070607080e-04,8.181818181818182323e-01,2.735454545454545610e+02
6M,5,Calming 3-back,1.072320307924597316e+00,8.721373690425564712e-06,6.818181818181817677e-01,2.920909090909090651e+02
6M,6,Calming 1-back,1.029053322992926844e+00,-2.681244359031803148e-04,8.636363636363636465e-01,2.655909090909090651e+02
6M,7,Calming 1-back,9.943728424633012652e-01,-7.073303111671924281e-05,8.636363636363636465e-01,2.718181818181818130e+02
6M,8,Calming 3-back,9.666734298123618174e-01,2.673169867208459197e-05,6.363636363636363535e-01,1.964545454545454675e+02
6M,9,Calming 3-back,9.362736027162746888e-01,5.084376049530121475e-05,5.000000000000000000e-01,2.493636363636363740e+02
6M,10,Calming 1-back,9.144487829490982600e-01,-5.190903648198757033e-05,6.363636363636363535e-01,2.737727272727272521e+02
6M,11,Calming 1-back,8.866477823639318245e-01,-3.785657993543409163e-05,7.727272727272727071e-01,2.579545454545454390e+02
6M,12,Calming 3-back,8.681522649281677717e-01,1.486128483678678786e-04,6.363636363636363535e-01,1.699090909090909065e+02
6M,13,Calming 3-back,8.537372665722630094e-01,2.187206270035189898e-05,5.454545454545454142e-01,1.619545454545454675e+02
6M,14,Calming 1-back,8.401304166911894855e-01,-1.064380168044548272e-04,8.181818181818182323e-01,3.106818181818181870e+02
6M,15,Calming 3-back,8.299014925166136036e-01,1.211359592723927124e-05,7.727272727272727071e-01,2.390909090909090935e+02
6M,16,Calming 1-back,8.150475269910432141e-01,2.649829246006462037e-07,8.636363636363636465e-01,2.494090909090909065e+02
6M,17,Vexing 1-back,8.123287374476085843e-01,-1.988405121626623514e-05,8.636363636363636465e-01,2.739090909090909349e+02
6M,18,Vexing 3-back,8.250962409035603740e-01,-6.775091343333322905e-06,7.272727272727272929e-01,2.025909090909090935e+02
6M,19,Vexing 1-back,8.218871341478020121e-01,-8.825109832807570879e-05,8.181818181818182323e-01,2.605909090909090651e+02
6M,20,Vexing 3-back,1.039478948761624055e+00,-2.323223441118902439e-04,5.909090909090909394e-01,2.066363636363636260e+02
6M,21,Vexing 1-back,9.799496059578125529e-01,-4.582875434245284378e-05,9.090909090909090606e-01,2.924545454545454390e+02
6M,22,Vexing 3-back,9.370389993834629117e-01,1.713746465430606152e-04,6.818181818181817677e-01,2.989090909090909349e+02
6M,23,Vexing 1-back,9.131578069641815842e-01,-4.229130840287096169e-05,8.181818181818182323e-01,2.616363636363636260e+02
6M,24,Vexing 3-back,1.206310274847275155e+00,4.980969740060969606e-06,6.818181818181817677e-01,2.683636363636363740e+02
6M,25,Vexing 1-back,1.072189975406394158e+00,2.352667680468354479e-04,8.181818181818182323e-01,2.519545454545454675e+02
6M,26,Vexing 3-back,1.094728462307170913e+00,6.654403664939022008e-05,7.727272727272727071e-01,2.470000000000000000e+02
6M,27,Vexing 3-back,1.046571839806940796e+00,-6.685318194741640772e-05,7.272727272727272929e-01,2.241363636363636260e+02
6M,28,Vexing 1-back,1.111425614903216008e+00,1.284459155003204989e-04,8.636363636363636465e-01,2.861363636363636260e+02
6M,29,Vexing 3-back,1.043552580924354878e+00,4.201641819220857646e-05,8.181818181818182323e-01,2.863181818181818130e+02
6M,30,Vexing 1-back,1.007791035551146797e+00,-1.816134897880258760e-04,9.545454545454545858e-01,2.483181818181818130e+02
6M,31,Vexing 3-back,9.912411290452468604e-01,2.261335965788990453e-05,0.000000000000000000e+00,2.372272727272727195e+02
6M,32,Vexing 1-back,9.505381817403115718e-01,-3.105242689838709675e-05,8.636363636363636465e-01,2.106818181818181870e+02
8M,1,Calming 1-back,6.652451207058213356e+00,1.239405491831838084e-05,6.818181818181817677e-01,5.061363636363636260e+02
8M,2,Calming 3-back,6.532110710383771668e+00,1.010073759768292636e-04,3.636363636363636465e-01,4.422272727272727479e+02
8M,3,Calming 3-back,6.398771532855092481e+00,9.915502090762195585e-05,5.000000000000000000e-01,5.728181818181818699e+02
8M,4,Calming 1-back,5.941794104511449071e+00,-2.919200047582583458e-05,7.727272727272727071e-01,2.781363636363636260e+02
8M,5,Calming 3-back,5.842333214646149742e+00,-1.215202182277319213e-04,5.909090909090909394e-01,3.493636363636363740e+02
8M,6,Calming 1-back,5.745790930001803076e+00,-4.896114678961078842e-05,8.636363636363636465e-01,3.469090909090909349e+02
8M,7,Calming 1-back,5.674733384271507752e+00,1.114370299909365298e-04,8.636363636363636465e-01,3.945000000000000000e+02
8M,8,Calming 3-back,5.976609129142278043e+00,1.467828161792966517e-04,6.818181818181817677e-01,5.790000000000000000e+02
8M,9,Calming 3-back,6.409352877668546000e+00,-9.793399698707691960e-05,5.454545454545454142e-01,4.249545454545454390e+02
8M,10,Calming 1-back,6.394723270011215099e+00,-8.674932028193253232e-05,9.545454545454545858e-01,3.324090909090909349e+02
8M,11,Calming 1-back,6.573099038027958585e+00,1.686614250833742249e-04,9.545454545454545858e-01,4.270454545454545610e+02
8M,12,Calming 3-back,6.376862845439267957e+00,9.548042003343654041e-05,5.909090909090909394e-01,3.292272727272727479e+02
8M,13,Calming 3-back,6.471013742744804453e+00,-5.518265832298141941e-06,7.727272727272727071e-01,4.888636363636363740e+02
8M,14,Calming 1-back,6.407568573803421152e+00,5.888867565914110625e-05,8.636363636363636465e-01,3.231363636363636260e+02
8M,15,Calming 3-back,6.141128221202022175e+00,1.103998747589506030e-04,5.454545454545454142e-01,3.251818181818181870e+02
8M,16,Calming 1-back,6.662344566699800019e+00,1.519919391411043599e-05,9.545454545454545858e-01,1.776818181818181870e+02
8M,17,Vexing 1-back,6.339473827046387733e+00,-8.383667585840978026e-05,8.636363636363636465e-01,2.602727272727272521e+02
8M,18,Vexing 3-back,6.291657059210754355e+00,-2.325950775100613490e-04,6.818181818181817677e-01,3.300454545454545610e+02
8M,19,Vexing 1-back,6.078387222784309429e+00,-8.561901109070988803e-05,8.181818181818182323e-01,2.862727272727272521e+02
8M,20,Vexing 3-back,6.044823050330099257e+00,-1.841466285069326913e-05,5.000000000000000000e-01,3.954090909090909349e+02
8M,21,Vexing 1-back,6.033407070567030850e+00,8.392302011291411738e-05,9.090909090909090606e-01,2.410000000000000000e+02
8M,22,Vexing 3-back,6.138726922588320534e+00,-3.811660058256881062e-05,6.363636363636363535e-01,5.188636363636363740e+02
8M,23,Vexing 1-back,6.090916689230626346e+00,-7.013265383773006401e-05,9.090909090909090606e-01,2.284545454545454675e+02
8M,24,Vexing 3-back,5.999857885266970392e+00,4.412910766426852950e-05,4.545454545454545303e-01,4.067727272727272521e+02
8M,25,Vexing 1-back,6.167099591699824579e+00,8.554917911168710134e-05,8.636363636363636465e-01,2.713636363636363740e+02
8M,26,Vexing 3-back,6.147920102401702280e+00,-1.048235685036809147e-05,6.818181818181817677e-01,4.012272727272727479e+02
8M,27,Vexing 3-back,6.063117916632903004e+00,-3.216479842610429679e-05,7.272727272727272929e-01,3.699545454545454390e+02
8M,28,Vexing 1-back,6.115976134073761727e+00,2.340333076242236750e-05,8.636363636363636465e-01,3.206818181818181870e+02
8M,29,Vexing 3-back,6.013802785573224341e+00,4.944628044539877684e-05,5.909090909090909394e-01,3.207727272727272521e+02
8M,30,Vexing 1-back,5.962921419156414160e+00,7.923733978883078027e-05,9.545454545454545858e-01,2.101363636363636260e+02
8M,31,Vexing 3-back,6.001561842891452336e+00,7.970546752303405021e-05,0.000000000000000000e+00,3.421818181818181870e+02
8M,32,Vexing 1-back,5.882714752788255730e+00,-1.782886856311837972e-04,9.545454545454545858e-01,2.352727272727272805e+02
11F,1,Calming 1-back,1.010699833738154929e+01,3.174379020966666839e-04,8.181818181818182323e-01,3.241363636363636260e+02
11F,2,Calming 3-back,9.252119560855746272e+00,-2.249000738686566798e-04,4.545454545454545303e-01,4.311818181818181870e+02
11F,3,Calming 3-back,8.264527791308660554e+00,-1.282109980080597597e-04,2.727272727272727071e-01,2.517727272727272805e+02
11F,4,Calming 1-back,7.980740769098120246e+00,1.147976895869207338e-04,9.090909090909090606e-01,2.694090909090909349e+02
11F,5,Calming 3-back,7.738188310867971431e+00,8.216528416517965153e-05,5.909090909090909394e-01,4.522727272727272521e+02
11F,6,Calming 1-back,7.096380620846075793e+00,-1.315558487044910306e-05,8.181818181818182323e-01,2.786363636363636260e+02
11F,7,Calming 1-back,7.696788066458418953e+00,4.360962507849845828e-06,7.727272727272727071e-01,1.993636363636363740e+02
11F,8,Calming 3-back,9.434345627912261278e+00,8.447465300526946403e-05,5.909090909090909394e-01,4.674090909090909349e+02
11F,9,Calming 3-back,8.843153695649718316e+00,1.933624276270359235e-04,5.909090909090909394e-01,4.480454545454545610e+02
11F,10,Calming 1-back,8.096023659221012636e+00,1.606344789616071043e-05,7.727272727272727071e-01,3.184545454545454390e+02
11F,11,Calming 1-back,8.958531480957500293e+00,2.391635482993994003e-04,9.090909090909090606e-01,3.244545454545454390e+02
11F,12,Calming 3-back,8.400175898007715247e+00,2.027147751259035643e-04,7.727272727272727071e-01,4.705000000000000000e+02
11F,13,Calming 3-back,8.375286115649599239e+00,-9.797995796203030363e-05,8.181818181818182323e-01,4.929545454545454390e+02
11F,14,Calming 1-back,7.990512311983376748e+00,-4.345335469958084928e-05,8.636363636363636465e-01,2.192727272727272805e+02
11F,15,Calming 3-back,7.691965925687408223e+00,8.732734436432899300e-06,7.272727272727272929e-01,5.196363636363636260e+02
11F,16,Calming 1-back,7.934698089114085029e+00,-2.369463170456325091e-04,9.090909090909090606e-01,2.945909090909090651e+02
11F,17,Vexing 1-back,8.889321881511676793e+00,-3.384670279786143360e-04,8.181818181818182323e-01,1.596363636363636260e+02
11F,18,Vexing 3-back,7.918238100702096105e+00,2.660296929824773203e-04,7.272727272727272929e-01,3.651818181818181870e+02
11F,19,Vexing 1-back,7.189968598671036659e+00,2.118575253181268631e-04,6.818181818181817677e-01,2.455000000000000000e+02
11F,20,Vexing 3-back,6.571917514310002595e+00,-2.179037171831832334e-04,7.727272727272727071e-01,2.197727272727272805e+02
11F,21,Vexing 1-back,6.161150606112344441e+00,-8.623506761756023623e-05,9.545454545454545858e-01,2.913181818181818130e+02
11F,22,Vexing 3-back,5.885007421759919310e+00,-2.714572771295179624e-05,6.363636363636363535e-01,2.973636363636363740e+02
11F,23,Vexing 1-back,5.696075062087335716e+00,-5.437390878549855642e-06,8.181818181818182323e-01,2.531818181818181870e+02
11F,24,Vexing 3-back,5.422069266483052985e+00,2.053742294244042545e-05,5.909090909090909394e-01,3.069090909090909349e+02
11F,25,Vexing 1-back,5.226165049361769732e+00,1.764909445589123540e-04,6.818181818181817677e-01,1.873636363636363740e+02
11F,26,Vexing 3-back,5.825077276811610361e+00,2.657017787851843134e-04,8.636363636363636465e-01,3.568181818181818130e+02
11F,27,Vexing 3-back,5.872530101430609051e+00,-1.485869823938109702e-04,5.909090909090909394e-01,3.161363636363636260e+02
11F,28,Vexing 1-back,5.565416458420180845e+00,-1.472270842616716334e-04,7.727272727272727071e-01,3.013636363636363740e+02
11F,29,Vexing 3-back,6.541623300970875299e+00,-3.545598685671641059e-04,7.272727272727272929e-01,2.151818181818181870e+02
11F,30,Vexing 1-back,6.017327099344965013e+00,-3.667282503259036448e-04,8.181818181818182323e-01,2.335909090909090935e+02
11F,31,Vexing 3-back,6.315892731723011799e+00,-9.960523977073153806e-06,0.000000000000000000e+00,3.214545454545454390e+02
11F,32,Vexing 1-back,6.379597449270731246e+00,5.284699248157575559e-04,8.181818181818182323e-01,2.675454545454545610e+02
